Method,ARI,NMI,Homogeneity,Completeness,V-measure,N_cells,N_true_types,N_pred_types
Original Coarse vs Agent Major,0.8528614834732602,0.802198054259288,0.8337820480246741,0.7729195557733527,0.8021980542592881,461102,8,11
Original Fine vs Agent Refined,0.5899258187775831,0.7716200399309158,0.7613415143265497,0.7821798950380958,0.7716200399309159,461102,41,31
Original Coarse vs Agent Refined,0.3381998037477464,0.6303295113219296,0.8837678766647438,0.4898539537003394,0.6303295113219296,461102,8,31
Original Fine vs Agent Major,0.4262240093582391,0.6549217858297882,0.5180416092962151,0.8901129724362484,0.6549217858297881,461102,41,11
